spec_type,spec_text,code_target,similarity
UseCase,系统用例：用户登录,终端设备交互::发送凭证,0.606
UseCase,系统用例：课程选择,教学管理系统::确认课程选择,0.759
UseCase,系统用例：个人课表查看,教学管理系统::显示个人课表,0.807
UseCase,系统用例：成绩查询,教学管理系统::显示成绩信息,0.652
UseCase,系统用例：所授课程及学生名单查看,教学管理系统::显示所授课程及学生名单,0.829
UseCase,系统用例：系统内容管理,终端设备交互::请求系统内容管理,0.724
Actor-UseCase,角色 学生 执行用例 用户登录,教学管理系统::存储登录记录,0.634
Actor-UseCase,角色 学生 执行用例 课程选择,教学管理系统::确认课程选择,0.674
Actor-UseCase,角色 学生 执行用例 个人课表查看,教学管理系统::显示个人课表,0.75
Actor-UseCase,角色 学生 执行用例 成绩查询,教学管理系统::显示成绩信息,0.63
Actor-UseCase,角色 教师 执行用例 用户登录,终端设备交互::发送凭证,0.647
Actor-UseCase,角色 教师 执行用例 所授课程及学生名单查看,教学管理系统::显示所授课程及学生名单,0.76
Actor-UseCase,角色 管理员 执行用例 用户登录,终端设备交互::发送凭证,0.595
Actor-UseCase,角色 管理员 执行用例 系统内容管理,终端设备交互::请求系统内容管理,0.689
Actor-UseCase,角色 终端设备 执行用例 用户登录,终端设备交互::发送凭证,0.675
Actor-UseCase,角色 服务器 执行用例 用户登录,服务器处理::验证用户,0.649
Actor-UseCase,角色 服务器 执行用例 课程选择,终端设备交互::提交课程选择,0.677
Actor-UseCase,角色 服务器 执行用例 所授课程及学生名单查看,服务器处理::共享课程数据,0.739
Actor-UseCase,角色 服务器 执行用例 系统内容管理,终端设备交互::请求系统内容管理,0.702
Message,消息传递：学生 发送 打开系统登录界面() 给 终端设备,终端设备交互::发送凭证,0.741
Message,"消息传递：终端设备 发送 发送用户名和密码(用户名, 密码) 给 教学管理系统",终端设备交互::发送凭证,0.82
Message,"消息传递：教学管理系统 发送 验证用户名和密码(用户名, 密码) 给 服务器",教学管理系统::验证凭证,0.762
Message,消息传递：服务器 发送 验证结果(验证通过/验证失败) 给 教学管理系统,教学管理系统::验证凭证,0.664
Message,消息传递：教学管理系统 发送 存储学生登录记录(登录信息) 给 服务器,教学管理系统::存储登录记录,0.821
Message,消息传递：服务器 发送 确认学生登录记录已存储() 给 教学管理系统,服务器处理::保存登录记录,0.794
Message,消息传递：教学管理系统 发送 返回验证结果(验证通过) 给 终端设备,终端设备交互::发送凭证,0.723
Message,消息传递：教学管理系统 发送 跳转到学生功能界面() 给 终端设备,终端设备交互::发送凭证,0.775
Message,消息传递：教学管理系统 发送 返回验证结果(验证失败) 给 终端设备,终端设备交互::发送凭证,0.696
Message,消息传递：教学管理系统 发送 提示用户名或密码错误请重新输入() 给 终端设备,终端设备交互::发送凭证,0.735
Message,消息传递：学生 发送 点击课程选择按钮() 给 终端设备,终端设备交互::请求所授课程及学生名单,0.653
Message,消息传递：终端设备 发送 请求课程选择功能() 给 教学管理系统,终端设备交互::请求课程选择,0.762
